feature,algo,silhouette,calinski_harabasz,davies_bouldin
pixels,kmeans,-0.0008069078287220948,1.065511311124387,6.911090289920778
pixels,gmm,-0.0008069078287220948,1.065511311124387,6.911090289920778
pixels,agg,0.0016920940889896977,1.1830764027104141,6.6472545257180755
pixels,dbscan,,,
hog,kmeans,0.0039590321049359205,1.7121855057197566,5.356425969044325
hog,gmm,0.0039590321049359205,1.7121855057197566,5.356425969044325
hog,agg,0.010361418127589183,2.3363196753878466,4.595170739539183
hog,dbscan,,,
pca,kmeans,0.016804153423849385,3.3816507024132574,3.7966695527956587
pca,gmm,0.015914159386024727,3.361562395478239,3.832284667994161
pca,agg,0.03142814033190131,3.4656379218609232,3.67863708351815
pca,dbscan,,,
